,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
J01 K01 Kenyeri,218,44,262,1,1,263,117,111,380,Vas county,J01 K01 Kenyeri
J02 K05 Kercaszomor,36,12,48,2,2,50,35,32,85,Vas county,J02 K05 Kercaszomor
J02 K05 Kerkáskápolna,21,2,23,.,.,23,13,11,36,Vas county,J02 K05 Kerkáskápolna
J05 K07 Kétvölgy,21,7,28,1,1,29,14,12,43,Vas county,J05 K07 Kétvölgy
J02 K05 Kisrákos,42,13,55,3,3,58,26,24,84,Vas county,J02 K05 Kisrákos
J01 K01 Kissomlyó,44,11,55,1,1,56,41,38,97,Vas county,J01 K01 Kissomlyó
J06 K08 Kisunyom,97,20,117,7,7,124,40,38,164,Vas county,J06 K08 Kisunyom
J03 K04 Kiszsidány,13,9,22,1,1,23,9,8,32,Vas county,J03 K04 Kiszsidány
J05 K05 Kondorfa,113,26,139,6,6,145,75,62,220,Vas county,J05 K05 Kondorfa
J01 K01 Köcsk,60,14,74,.,.,74,32,29,106,Vas county,J01 K01 Köcsk
J03 K04 Kõszegdoroszló,52,11,63,3,3,66,25,23,91,Vas county,J03 K04 Kõszegdoroszló
J03 K04 Kõszegpaty,36,6,42,2,2,44,23,22,67,Vas county,J03 K04 Kõszegpaty
J03 K04 Kõszegszerdahely,102,23,125,3,3,128,48,43,176,Vas county,J03 K04 Kõszegszerdahely
J03 K02 Lócs,34,.,34,1,1,35,32,32,67,Vas county,J03 K02 Lócs
J03 K04 Lukácsháza,239,34,273,10,9,283,79,68,362,Vas county,J03 K04 Lukácsháza
J05 K07 Magyarlak,171,36,207,7,7,214,77,69,291,Vas county,J05 K07 Magyarlak
J02 K03 Magyarnádalja,47,10,57,2,2,59,19,19,78,Vas county,J02 K03 Magyarnádalja
J02 K03 Magyarszecsõd,102,17,119,3,2,122,34,33,156,Vas county,J02 K03 Magyarszecsõd
J02 K05 Magyarszombatfa,50,15,65,3,3,68,37,35,105,Vas county,J02 K05 Magyarszombatfa
J04 K06 Megyehíd,59,19,78,6,5,84,30,27,114,Vas county,J04 K06 Megyehíd
J04 K06 Meggyeskovácsi,155,35,190,3,3,193,86,74,279,Vas county,J04 K06 Meggyeskovácsi
J01 K01 Mersevát,142,21,163,5,5,168,56,49,224,Vas county,J01 K01 Mersevát
J04 K02 Mesterháza,35,3,38,3,3,41,19,18,60,Vas county,J04 K02 Mesterháza
J01 K01 Mesteri,53,7,60,.,.,60,23,20,83,Vas county,J01 K01 Mesteri
J06 K08 Meszlen,45,9,54,6,6,60,24,19,84,Vas county,J06 K08 Meszlen
J07 K09 Mikosszéplak,74,11,85,3,3,88,37,36,125,Vas county,J07 K09 Mikosszéplak
J02 K03 Molnaszecsõd,98,18,116,7,7,123,30,24,153,Vas county,J02 K03 Molnaszecsõd
J02 K03 Nádasd,288,66,354,12,12,366,136,121,502,Vas county,J02 K03 Nádasd
J04 K02 Nagygeresd,56,9,65,7,7,72,40,33,112,Vas county,J04 K02 Nagygeresd
J02 K03 Nagykölked,26,3,29,1,1,30,22,20,52,Vas county,J02 K03 Nagykölked
J02 K03 Nagymizdó,20,7,27,3,3,30,21,19,51,Vas county,J02 K03 Nagymizdó
J02 K05 Nagyrákos,56,13,69,5,5,74,34,31,108,Vas county,J02 K05 Nagyrákos
J01 K01 Nagysimonyi,219,50,269,8,8,277,107,94,384,Vas county,J01 K01 Nagysimonyi
J07 K09 Nagytilaj,28,8,36,.,.,36,30,27,66,Vas county,J07 K09 Nagytilaj
J06 K08 Nárai,292,40,332,11,11,343,93,79,436,Vas county,J06 K08 Nárai
J06 K08 Narda,93,15,108,10,10,118,53,44,171,Vas county,J06 K08 Narda
J06 K08 Nemesbõd,137,34,171,6,6,177,60,53,237,Vas county,J06 K08 Nemesbõd
J03 K04 Nemescsó,59,14,73,4,4,77,28,26,105,Vas county,J03 K04 Nemescsó
J01 K01 Nemeskeresztúr,64,10,74,2,2,76,45,39,121,Vas county,J01 K01 Nemeskeresztúr
J01 K01 Nemeskocs,75,11,86,1,1,87,35,31,122,Vas county,J01 K01 Nemeskocs
J06 K08 Nemeskolta,78,11,89,6,6,95,33,30,128,Vas county,J06 K08 Nemeskolta
J04 K02 Nemesládony,22,7,29,4,4,33,18,17,51,Vas county,J04 K02 Nemesládony
J05 K07 Nemesmedves,4,1,5,.,.,5,4,4,9,Vas county,J05 K07 Nemesmedves
J02 K03 Nemesrempehollós,59,16,75,4,4,79,38,34,117,Vas county,J02 K03 Nemesrempehollós
J04 K06 Nick,107,22,129,7,7,136,63,57,199,Vas county,J04 K06 Nick
J04 K06 Nyõgér,65,19,84,1,1,85,42,38,127,Vas county,J04 K06 Nyõgér
J07 K09 Olaszfa,77,20,97,2,2,99,82,75,181,Vas county,J07 K09 Olaszfa
J03 K04 Ólmod,20,6,26,.,.,26,15,15,41,Vas county,J03 K04 Ólmod
J05 K07 Orfalu,11,2,13,.,.,13,11,11,24,Vas county,J05 K07 Orfalu
J01 K01 Ostffyasszonyfa,184,26,210,14,13,224,98,94,322,Vas county,J01 K01 Ostffyasszonyfa
J07 K09 Oszkó,126,26,152,12,10,164,86,79,250,Vas county,J07 K09 Oszkó
J04 K06 Ölbõ,158,30,188,11,11,199,68,60,267,Vas county,J04 K06 Ölbõ
J02 K05 Õrimagyarósd,45,14,59,2,2,61,32,29,93,Vas county,J02 K05 Õrimagyarósd
J07 K09 Pácsony,56,10,66,3,3,69,40,37,109,Vas county,J07 K09 Pácsony
J02 K05 Pankasz,109,21,130,2,2,132,77,77,209,Vas county,J02 K05 Pankasz
J01 K01 Pápoc,68,17,85,.,.,85,71,66,156,Vas county,J01 K01 Pápoc
J04 K06 Pecöl,182,28,210,7,7,217,72,66,289,Vas county,J04 K06 Pecöl
J06 K08 Perenye,152,31,183,9,9,192,36,29,228,Vas county,J06 K08 Perenye
J03 K04 Peresznye,105,19,124,8,8,132,35,30,167,Vas county,J03 K04 Peresznye
J07 K09 Petõmihályfa,47,9,56,.,.,56,30,26,86,Vas county,J07 K09 Petõmihályfa
J02 K03 Pinkamindszent,25,4,29,3,3,32,37,35,69,Vas county,J02 K03 Pinkamindszent
J06 K08 Pornóapáti,77,14,91,2,2,93,30,30,123,Vas county,J06 K08 Pornóapáti
J04 K06 Porpác,35,5,40,.,.,40,23,23,63,Vas county,J04 K06 Porpác
J04 K06 Pósfa,55,7,62,9,9,71,24,22,95,Vas county,J04 K06 Pósfa
J03 K04 Pusztacsó,33,3,36,.,.,36,15,13,51,Vas county,J03 K04 Pusztacsó
J07 K09 Püspökmolnári,210,37,247,4,4,251,95,87,346,Vas county,J07 K09 Püspökmolnári
J05 K07 Rábagyarmat,160,42,202,9,9,211,76,64,287,Vas county,J05 K07 Rábagyarmat
J07 K09 Rábahídvég,220,41,261,9,9,270,89,74,359,Vas county,J07 K09 Rábahídvég
J04 K06 Rábapaty,374,72,446,19,19,465,152,131,617,Vas county,J04 K06 Rábapaty
J06 K08 Rábatöttös,44,9,53,1,1,54,26,25,80,Vas county,J06 K08 Rábatöttös
J02 K03 Rádóckölked,63,10,73,1,1,74,34,29,108,Vas county,J02 K03 Rádóckölked
J05 K07 Rátót,45,13,58,8,7,66,21,18,87,Vas county,J05 K07 Rátót
J04 K02 Répceszentgyörgy,24,5,29,1,1,30,30,29,60,Vas county,J04 K02 Répceszentgyörgy
J05 K07 Rönök,75,28,103,4,4,107,43,38,150,Vas county,J05 K07 Rönök
J06 K08 Rum,233,55,288,7,7,295,139,133,434,Vas county,J06 K08 Rum
J04 K02 Sajtoskál,63,8,71,5,5,76,24,22,100,Vas county,J04 K02 Sajtoskál
J06 K08 Salköveskút,106,19,125,7,6,132,42,35,174,Vas county,J06 K08 Salköveskút
J07 K09 Sárfimizdó,19,6,25,1,1,26,14,14,40,Vas county,J07 K09 Sárfimizdó
J06 K08 Sé,334,49,383,5,5,388,90,85,478,Vas county,J06 K08 Sé
J04 K02 Simaság,103,21,124,10,10,134,63,53,197,Vas county,J04 K02 Simaság
J04 K06 Sitke,131,34,165,9,8,174,88,82,262,Vas county,J04 K06 Sitke
J06 K08 Sorkifalud,145,21,166,10,10,176,58,54,234,Vas county,J06 K08 Sorkifalud
J06 K08 Sorkikápolna,56,9,65,5,5,70,27,26,97,Vas county,J06 K08 Sorkikápolna
J06 K08 Sorokpolány,162,40,202,13,13,215,61,56,276,Vas county,J06 K08 Sorokpolány
J04 K06 Sótony,137,31,168,6,6,174,83,75,257,Vas county,J04 K06 Sótony
J06 K08 Söpte,180,29,209,12,11,221,59,48,280,Vas county,J06 K08 Söpte
J02 K05 Szaknyér,7,3,10,1,1,11,8,6,19,Vas county,J02 K05 Szaknyér
J05 K07 Szakonyfalu,63,23,86,4,4,90,29,25,119,Vas county,J05 K07 Szakonyfalu
J02 K05 Szalafõ,40,10,50,1,1,51,38,34,89,Vas county,J02 K05 Szalafõ
J02 K03 Szarvaskend,45,12,57,3,3,60,26,24,86,Vas county,J02 K03 Szarvaskend
J02 K05 Szatta,11,7,18,1,1,19,9,6,28,Vas county,J02 K05 Szatta
J04 K06 Szeleste,153,21,174,6,6,180,64,55,244,Vas county,J04 K06 Szeleste
J07 K09 Szemenye,66,10,76,1,1,77,49,43,126,Vas county,J07 K09 Szemenye
J06 K08 Szentpéterfa,218,34,252,6,6,258,77,70,335,Vas county,J06 K08 Szentpéterfa
J01 K01 Szergény,70,10,80,6,6,86,38,33,124,Vas county,J01 K01 Szergény
J02 K05 Szõce,57,13,70,4,4,74,68,58,142,Vas county,J02 K05 Szõce
J06 K08 Tanakajd,160,31,191,8,8,199,72,66,271,Vas county,J06 K08 Tanakajd
J06 K08 Táplánszentkereszt,536,111,647,33,33,680,161,143,841,Vas county,J06 K08 Táplánszentkereszt
J07 K09 Telekes,100,28,128,7,6,135,51,48,186,Vas county,J07 K09 Telekes
J01 K01 Tokorcs,83,11,94,4,4,98,34,31,132,Vas county,J01 K01 Tokorcs
J04 K02 Tompaládony,70,12,82,6,6,88,39,37,127,Vas county,J04 K02 Tompaládony
J03 K02 Tormásliget,58,22,80,2,2,82,37,33,119,Vas county,J03 K02 Tormásliget
J06 K08 Torony,381,98,479,26,26,505,139,116,644,Vas county,J06 K08 Torony
J03 K02 Tömörd,55,10,65,1,1,66,25,21,91,Vas county,J03 K02 Tömörd
J04 K06 Uraiújfalu,200,43,243,9,9,252,97,88,349,Vas county,J04 K06 Uraiújfalu
J04 K06 Vámoscsalád,67,17,84,.,.,84,42,40,126,Vas county,J04 K06 Vámoscsalád
J02 K03 Vasalja,64,20,84,1,1,85,37,32,122,Vas county,J02 K03 Vasalja
J04 K06 Vásárosmiske,76,19,95,4,4,99,37,32,136,Vas county,J04 K06 Vásárosmiske
J06 K08 Vasasszonyfa,74,18,92,5,5,97,33,27,130,Vas county,J06 K08 Vasasszonyfa
J04 K06 Vasegerszeg,70,17,87,1,1,88,33,30,121,Vas county,J04 K06 Vasegerszeg
J04 K06 Vashosszúfalu,84,10,94,5,5,99,57,53,156,Vas county,J04 K06 Vashosszúfalu
J06 K08 Vaskeresztes,66,15,81,7,7,88,30,27,118,Vas county,J06 K08 Vaskeresztes
J06 K08 Vassurány,169,37,206,16,16,222,53,48,275,Vas county,J06 K08 Vassurány
J06 K08 Vasszécseny,301,62,363,21,21,384,97,90,481,Vas county,J06 K08 Vasszécseny
J05 K07 Vasszentmihály,69,18,87,3,3,90,49,39,139,Vas county,J05 K07 Vasszentmihály
J06 K08 Vasszilvágy,82,18,100,2,2,102,38,32,140,Vas county,J06 K08 Vasszilvágy
J06 K08 Vát,142,32,174,12,12,186,48,44,234,Vas county,J06 K08 Vát
J03 K04 Velem,67,14,81,.,.,81,42,36,123,Vas county,J03 K04 Velem
J02 K05 Velemér,17,1,18,1,1,19,11,11,30,Vas county,J02 K05 Velemér
J02 K05 Viszák,60,8,68,2,2,70,28,25,98,Vas county,J02 K05 Viszák
J01 K01 Vönöck,177,35,212,5,5,217,76,65,293,Vas county,J01 K01 Vönöck
J04 K06 Zsédeny,37,12,49,2,2,51,30,30,81,Vas county,J04 K06 Zsédeny
J06 K08 Zsennye,21,7,28,.,.,28,18,17,46,Vas county,J06 K08 Zsennye
County total,55456,12650,68106,1829,1790,69935,30508,27815,100443,Vas county,County total
Towns of county right,13103,3296,16399,155,148,16554,9303,8657,25857,Veszprém county,Towns of county right
Other towns,34591,8104,42695,767,749,43462,20447,18897,63909,Veszprém county,Other towns
Towns together,47694,11400,59094,922,897,60016,29750,27554,89766,Veszprém county,Towns together
Villages,29504,6046,35550,1072,1048,36622,15586,14241,52208,Veszprém county,Villages
County total,77198,17446,94644,1994,1945,96638,45336,41795,141974,Veszprém county,County total
Districts (Without Balatonvilágos),,,,,,,,,,Veszprém county,Districts (Without Balatonvilágos)
J01 Ajkai,9044,1908,10952,201,200,11153,4918,4572,16071,Veszprém county,J01 Ajkai
J02 Balatonalmádi,5264,1165,6429,148,145,6577,3286,3013,9863,Veszprém county,J02 Balatonalmádi
J03 Balatonfüredi,5353,1157,6510,121,117,6631,3373,3123,10004,Veszprém county,J03 Balatonfüredi
J04 Devecseri,3154,723,3877,105,103,3982,1835,1686,5817,Veszprém county,J04 Devecseri
J05 Pápai,12848,2867,15715,387,380,16102,7224,6615,23326,Veszprém county,J05 Pápai
J06 Sümegi,3230,692,3922,118,117,4040,1721,1565,5761,Veszprém county,J06 Sümegi
J07 Tapolcai,7743,1669,9412,211,202,9623,4570,4218,14193,Veszprém county,J07 Tapolcai
J08 Várpalotai,8089,2086,10175,217,208,10392,4834,4455,15226,Veszprém county,J08 Várpalotai
J09 Veszprémi,17854,4288,22142,315,304,22457,11412,10569,33869,Veszprém county,J09 Veszprémi
J10 Zirci,4333,840,5173,168,167,5341,1994,1826,7335,Veszprém county,J10 Zirci
Statistical micro-regions,,,,,,,,,,Veszprém county,Statistical micro-regions
K01 Ajkai,9243,1979,11222,204,203,11426,5039,4676,16465,Veszprém county,K01 Ajkai
K02 Balatonalmádi,5901,1285,7186,156,152,7342,3681,3363,11023,Veszprém county,K02 Balatonalmádi
K03 Balatonfüredi,4984,1095,6079,115,111,6194,3123,2894,9317,Veszprém county,K03 Balatonfüredi
K04 Devecseri,2944,673,3617,101,99,3718,1710,1576,5428,Veszprém county,K04 Devecseri
K05 Pápai,12859,2846,15705,388,381,16093,7228,6621,23321,Veszprém county,K05 Pápai
K06 Sümegi,3230,692,3922,118,117,4040,1721,1565,5761,Veszprém county,K06 Sümegi
K07 Tapolcai,7743,1669,9412,211,202,9623,4570,4218,14193,Veszprém county,K07 Tapolcai
K08 Várpalotai,7949,2056,10005,212,203,10217,4773,4401,14990,Veszprém county,K08 Várpalotai
K09 Veszprémi,17892,4285,22177,319,308,22496,11458,10622,33954,Veszprém county,K09 Veszprémi
K10 Zirci,4453,866,5319,170,169,5489,2033,1859,7522,Veszprém county,K10 Zirci
Size-groups of population,,,,,,,,,,Veszprém county,Size-groups of population
Towns,,,,,,,,,,Veszprém county,Towns
Together,47694,11400,59094,922,897,60016,29750,27554,89766,Veszprém county,Together
Villages,,,,,,,,,,Veszprém county,Villages
  199 and less,826,195,1021,22,22,1043,739,685,1782,Veszprém county,  199 and less
Together,29504,6046,35550,1072,1048,36622,15586,14241,52208,Veszprém county,Together
Total,77198,17446,94644,1994,1945,96638,45336,41795,141974,Veszprém county,Total
Of which:,,,,,,,,,,Veszprém county,Of which:
Data of localities,,,,,,,,,,Veszprém county,Data of localities
County seat,,,,,,,,,,Veszprém county,County seat
J09 K09 Veszprém,13103,3296,16399,155,148,16554,9303,8657,25857,Veszprém county,J09 K09 Veszprém
Other towns,,,,,,,,,,Veszprém county,Other towns
J01 K01 Ajka,6781,1497,8278,118,117,8396,3890,3638,12286,Veszprém county,J01 K01 Ajka
J07 K07 Badacsonytomaj,478,104,582,26,25,608,311,271,919,Veszprém county,J07 K07 Badacsonytomaj
J02 K02 Balatonalmádi,1835,419,2254,45,45,2299,1243,1134,3542,Veszprém county,J02 K02 Balatonalmádi
J03 K03 Balatonfüred,2884,711,3595,57,56,3652,1786,1654,5438,Veszprém county,J03 K03 Balatonfüred
J02 K02 Balatonfûzfõ,892,222,1114,11,11,1125,710,665,1835,Veszprém county,J02 K02 Balatonfûzfõ
J02 K02 Balatonkenese,713,158,871,15,14,886,497,452,1383,Veszprém county,J02 K02 Balatonkenese
J08 K08 Berhida,1169,274,1443,53,49,1496,602,554,2098,Veszprém county,J08 K08 Berhida
J04 K04 Devecser,933,233,1166,33,32,1199,493,453,1692,Veszprém county,J04 K04 Devecser
J09 K09 Herend,792,159,951,23,23,974,320,293,1294,Veszprém county,J09 K09 Herend
J05 K05 Pápa,6983,1679,8662,140,137,8802,4127,3814,12929,Veszprém county,J05 K05 Pápa
J06 K06 Sümeg,1336,314,1650,40,40,1690,758,683,2448,Veszprém county,J06 K06 Sümeg
J07 K07 Tapolca,3704,826,4530,73,69,4603,2079,1923,6682,Veszprém county,J07 K07 Tapolca
J08 K08 Várpalota,4444,1202,5646,92,90,5738,2931,2713,8669,Veszprém county,J08 K08 Várpalota
J10 K10 Zirc,1647,306,1953,41,41,1994,700,650,2694,Veszprém county,J10 K10 Zirc
Villages,,,,,,,,,,Veszprém county,Villages
J07 K07 Ábrahámhegy,109,19,128,.,.,128,110,105,238,Veszprém county,J07 K07 Ábrahámhegy
J05 K05 Adásztevel,205,34,239,9,9,248,68,63,316,Veszprém county,J05 K05 Adásztevel
J04 K04 Adorjánháza,78,21,99,.,.,99,57,56,156,Veszprém county,J04 K04 Adorjánháza
J03 K02 Alsóörs,369,62,431,6,6,437,250,229,687,Veszprém county,J03 K02 Alsóörs
J04 K04 Apácatorna,33,7,40,3,3,43,18,18,61,Veszprém county,J04 K04 Apácatorna
J03 K03 Aszófõ,89,20,109,2,2,111,52,48,163,Veszprém county,J03 K03 Aszófõ
J07 K07 Badacsonytördemic,188,53,241,2,2,243,157,149,400,Veszprém county,J07 K07 Badacsonytördemic
J10 K10 Bakonybél,304,51,355,8,8,363,160,145,523,Veszprém county,J10 K10 Bakonybél
J05 K05 Bakonyjákó,155,30,185,1,1,186,74,66,260,Veszprém county,J05 K05 Bakonyjákó
J05 K05 Bakonykoppány,39,9,48,2,2,50,38,34,88,Veszprém county,J05 K05 Bakonykoppány
J10 K10 Bakonynána,199,63,262,10,10,272,98,86,370,Veszprém county,J10 K10 Bakonynána
J10 K10 Bakonyoszlop,87,23,110,2,2,112,52,50,164,Veszprém county,J10 K10 Bakonyoszlop
J05 K01 Bakonypölöske,78,29,107,1,1,108,40,34,148,Veszprém county,J05 K01 Bakonypölöske
J05 K05 Bakonyság,11,3,14,.,.,14,16,15,30,Veszprém county,J05 K05 Bakonyság
J05 K05 Bakonyszentiván,36,17,53,2,2,55,30,28,85,Veszprém county,J05 K05 Bakonyszentiván
J10 K10 Bakonyszentkirály,192,27,219,12,12,231,108,96,339,Veszprém county,J10 K10 Bakonyszentkirály
J05 K05 Bakonyszücs,70,12,82,2,2,84,37,34,121,Veszprém county,J05 K05 Bakonyszücs
J05 K05 Bakonytamási,140,25,165,5,5,170,80,72,250,Veszprém county,J05 K05 Bakonytamási
J03 K03 Balatonakali,160,29,189,.,.,189,115,103,304,Veszprém county,J03 K03 Balatonakali
J03 K03 Balatoncsicsó,39,7,46,1,1,47,40,35,87,Veszprém county,J03 K03 Balatoncsicsó
J07 K07 Balatonederics,240,47,287,4,4,291,142,131,433,Veszprém county,J07 K07 Balatonederics
J02 K02 Balatonfõkajár,263,75,338,11,11,349,178,158,527,Veszprém county,J02 K02 Balatonfõkajár
J07 K07 Balatonhenye,21,4,25,1,1,26,24,24,50,Veszprém county,J07 K07 Balatonhenye
J07 K07 Balatonrendes,27,5,32,.,.,32,30,28,62,Veszprém county,J07 K07 Balatonrendes
J03 K03 Balatonszepezd,74,14,88,3,3,91,70,65,161,Veszprém county,J03 K03 Balatonszepezd
J03 K03 Balatonszõlõs,144,27,171,5,5,176,39,35,215,Veszprém county,J03 K03 Balatonszõlõs
J03 K03 Balatonudvari,61,12,73,2,2,75,49,44,124,Veszprém county,J03 K03 Balatonudvari
       K02 Balatonvilágos,286,51,337,3,2,340,169,153,509,Veszprém county,       K02 Balatonvilágos
J09 K09 Bánd,164,18,182,4,4,186,63,59,249,Veszprém county,J09 K09 Bánd
J09 K09 Barnag,25,7,32,3,3,35,16,13,51,Veszprém county,J09 K09 Barnag
J06 K06 Bazsi,84,15,99,.,.,99,45,43,144,Veszprém county,J06 K06 Bazsi
J05 K05 Béb,57,13,70,.,.,70,27,27,97,Veszprém county,J05 K05 Béb
J05 K05 Békás,42,11,53,4,4,57,25,23,82,Veszprém county,J05 K05 Békás
J06 K06 Bodorfa,18,9,27,.,.,27,14,13,41,Veszprém county,J06 K06 Bodorfa
J04 K04 Borszörcsök,78,24,102,.,.,102,36,33,138,Veszprém county,J04 K04 Borszörcsök
J10 K10 Borzavár,167,36,203,1,.,204,99,91,303,Veszprém county,J10 K10 Borzavár
J06 K06 Csabrendek,622,119,741,23,22,764,257,241,1021,Veszprém county,J06 K06 Csabrendek
J02 K02 Csajág,189,44,233,13,12,246,86,82,332,Veszprém county,J02 K02 Csajág
J01 K01 Csehbánya,66,6,72,6,6,78,32,29,110,Veszprém county,J01 K01 Csehbánya
J10 K10 Csesznek,115,21,136,8,8,144,67,63,211,Veszprém county,J10 K10 Csesznek
J10 K10 Csetény,438,70,508,23,23,531,162,144,693,Veszprém county,J10 K10 Csetény
J03 K03 Csopak,423,72,495,4,4,499,257,243,756,Veszprém county,J03 K03 Csopak
J05 K05 Csót,202,47,249,6,6,255,101,83,356,Veszprém county,J05 K05 Csót
J04 K04 Csögle,147,26,173,2,2,175,93,88,268,Veszprém county,J04 K04 Csögle
J06 K06 Dabronc,97,14,111,6,6,117,54,49,171,Veszprém county,J06 K06 Dabronc
J04 K04 Dabrony,76,16,92,5,5,97,45,44,142,Veszprém county,J04 K04 Dabrony
J05 K05 Dáka,90,10,100,3,3,103,57,52,160,Veszprém county,J05 K05 Dáka
J04 K04 Doba,103,18,121,3,3,124,81,75,205,Veszprém county,J04 K04 Doba
J05 K05 Döbrönte,63,7,70,1,1,71,31,30,102,Veszprém county,J05 K05 Döbrönte
J03 K03 Dörgicse,57,13,70,1,1,71,42,41,113,Veszprém county,J03 K03 Dörgicse
J10 K10 Dudar,357,82,439,12,12,451,170,158,621,Veszprém county,J10 K10 Dudar
J04 K04 Egeralja,58,12,70,.,.,70,40,38,110,Veszprém county,J04 K04 Egeralja
J05 K05 Egyházaskeszõ,121,19,140,6,6,146,70,67,216,Veszprém county,J05 K05 Egyházaskeszõ
J09 K10 Eplény,120,26,146,2,2,148,39,33,187,Veszprém county,J09 K10 Eplény
J01 K05 Farkasgyepû,89,8,97,2,2,99,44,40,143,Veszprém county,J01 K05 Farkasgyepû
J02 K02 Felsõörs,365,44,409,10,10,419,166,153,585,Veszprém county,J02 K02 Felsõörs
J05 K05 Ganna,57,11,68,.,.,68,30,24,98,Veszprém county,J05 K05 Ganna
J05 K05 Gecse,86,23,109,3,3,112,52,45,164,Veszprém county,J05 K05 Gecse
J05 K05 Gic,71,17,88,4,4,92,35,33,127,Veszprém county,J05 K05 Gic
J06 K06 Gógánfa,178,30,208,11,11,219,71,60,290,Veszprém county,J06 K06 Gógánfa
J06 K06 Gyepükaján,73,16,89,2,2,91,51,46,142,Veszprém county,J06 K06 Gyepükaján
J07 K07 Gyulakeszi,141,36,177,13,11,190,61,57,251,Veszprém county,J07 K07 Gyulakeszi
J09 K09 Hajmáskér,591,188,779,12,11,791,396,354,1187,Veszprém county,J09 K09 Hajmáskér
J01 K01 Halimba,259,59,318,4,4,322,125,119,447,Veszprém county,J01 K01 Halimba
J09 K09 Hárskút,145,24,169,14,14,183,49,46,232,Veszprém county,J09 K09 Hárskút
J07 K07 Hegyesd,39,3,42,.,.,42,31,29,73,Veszprém county,J07 K07 Hegyesd
J07 K07 Hegymagas,49,16,65,1,1,66,47,42,113,Veszprém county,J07 K07 Hegymagas
J06 K06 Hetyefõ,17,3,20,2,2,22,19,18,41,Veszprém county,J06 K06 Hetyefõ
J09 K09 Hidegkút,84,17,101,4,4,105,45,43,150,Veszprém county,J09 K09 Hidegkút
J05 K05 Homokbödöge,160,30,190,3,2,193,77,70,270,Veszprém county,J05 K05 Homokbödöge
J06 K06 Hosztót,13,4,17,.,.,17,17,16,34,Veszprém county,J06 K06 Hosztót
J04 K04 Iszkáz,78,17,95,3,3,98,51,48,149,Veszprém county,J04 K04 Iszkáz
J08 K08 Jásd,166,31,197,4,4,201,91,82,292,Veszprém county,J08 K08 Jásd
J04 K04 Kamond,57,13,70,9,9,79,45,42,124,Veszprém county,J04 K04 Kamond
J07 K07 Kapolcs,78,10,88,3,3,91,43,42,134,Veszprém county,J07 K07 Kapolcs
J06 K06 Káptalanfa,176,43,219,11,11,230,77,68,307,Veszprém county,J06 K06 Káptalanfa
J07 K07 Káptalantóti,101,31,132,1,1,133,44,42,177,Veszprém county,J07 K07 Káptalantóti
J04 K04 Karakószörcsök,55,17,72,4,4,76,27,21,103,Veszprém county,J04 K04 Karakószörcsök
J07 K07 Kékkút,17,2,19,.,.,19,14,11,33,Veszprém county,J07 K07 Kékkút
J05 K05 Kemeneshõgyész,91,26,117,11,11,128,61,54,189,Veszprém county,J05 K05 Kemeneshõgyész
J05 K05 Kemenesszentpéter,150,33,183,13,13,196,68,62,264,Veszprém county,J05 K05 Kemenesszentpéter
J04 K04 Kerta,140,22,162,3,2,165,65,61,230,Veszprém county,J04 K04 Kerta
J02 K09 Királyszentistván,104,14,118,4,4,122,34,32,156,Veszprém county,J02 K09 Királyszentistván
J07 K07 Kisapáti,70,17,87,.,.,87,53,46,140,Veszprém county,J07 K07 Kisapáti
J04 K04 Kisberzseny,17,2,19,.,.,19,20,14,39,Veszprém county,J04 K04 Kisberzseny
J04 K04 Kiscsõsz,25,3,28,.,.,28,30,28,58,Veszprém county,J04 K04 Kiscsõsz
J01 K01 Kislõd,268,49,317,15,15,332,93,77,425,Veszprém county,J01 K01 Kislõd
J04 K04 Kispirit,15,4,19,2,2,21,16,14,37,Veszprém county,J04 K04 Kispirit
J04 K04 Kisszõlõs,24,7,31,.,.,31,23,23,54,Veszprém county,J04 K04 Kisszõlõs
J04 K04 Kolontár,146,34,180,8,8,188,71,66,259,Veszprém county,J04 K04 Kolontár
J07 K07 Kõvágóörs,181,38,219,6,6,225,115,100,340,Veszprém county,J07 K07 Kõvágóörs
J07 K07 Köveskál,69,23,92,2,2,94,57,50,151,Veszprém county,J07 K07 Köveskál
J05 K05 Kup,110,13,123,3,3,126,40,35,166,Veszprém county,J05 K05 Kup
J05 K05 Külsõvat,129,30,159,4,4,163,58,53,221,Veszprém county,J05 K05 Külsõvat
J02 K02 Küngös,111,22,133,7,7,140,36,32,176,Veszprém county,J02 K02 Küngös
J07 K07 Lesencefalu,56,13,69,5,5,74,46,42,120,Veszprém county,J07 K07 Lesencefalu
J07 K07 Lesenceistvánd,218,44,262,5,5,267,113,101,380,Veszprém county,J07 K07 Lesenceistvánd
J07 K07 Lesencetomaj,197,33,230,16,16,246,101,88,347,Veszprém county,J07 K07 Lesencetomaj
J02 K02 Litér,459,105,564,16,16,580,175,152,755,Veszprém county,J02 K02 Litér
J10 K10 Lókút,92,13,105,4,4,109,63,57,172,Veszprém county,J10 K10 Lókút
J03 K03 Lovas,97,21,118,3,2,121,53,50,174,Veszprém county,J03 K03 Lovas
J05 K05 Lovászpatona,247,54,301,10,10,311,150,136,461,Veszprém county,J05 K05 Lovászpatona
J05 K05 Magyargencs,101,20,121,7,7,128,75,69,203,Veszprém county,J05 K05 Magyargencs
